Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
Ratio
(dB)","Total
Diff.
(dB)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
AXK,Accelr8 Technology Corporation,3.45,-1.1151043038,10.7980008496,None,None,0.319503586641,-0.0149666973101,0.469170559743,Capital Goods,Biotechnology: Laboratory Analytical Instruments,0.017213,0.017214,0.000235,0.000236,-0.000252298766681,-0.0184414069837,0.0186937057504,-2.48596491228,1.2137829912,-2.42352941176,-0.764705882353
ACU,Acme United Corporation.,11.0,0.244931646514,6.29060339271,21.5036483135,0.0465037367344,1.74863988608,0.804210965234,-6.29346976626,Capital Goods,Industrial Machinery/Components,0.055221,0.055222,0.073301,0.073302,-7.86459045688e-05,-5.9247693691e-05,0.00013789359826,0.184882204642,-0.173309477934,0.579229243412,0.388924615934
AQ,Acquity Group Limited,6.23,1.99130839938,1.01069047388,10.1022620918,0.0989877307594,6.16410281982,0.644394995636,-0.279847136531,Miscellaneous,Business Services,0.080491,None,0.106626,None,None,None,None,2.03280950556,1.94980729321,None,None
AE,"Adams Resources & Energy, Inc.",34.81,0.169731684841,2.10397658708,12.5780801164,0.0795033892888,16.5448609142,7.08478335081,-54.3029725939,Energy,Oil Refining/Marketing,0.37884,0.37884,3.214302,3.214399,0.0,-0.000131057782117,0.000131057782117,0.384319549588,0.209045680687,0.107272237786,-0.0217107286973
ADK,Adcare Health Systems Inc,4.55,-0.0700825793623,None,None,None,-14.583251321,-0.541694684811,-9.16630447292,Health Care,Hospital/Nursing Management,0.159104,0.159104,0.151352,0.151353,0.0,-2.86942390715e-05,2.86942390715e-05,-0.0476663264359,-0.151589392343,-0.0129828036373,-0.068091795033
API,"Advanced Photonix, Inc.",0.4947,-0.0452836614881,None,None,None,-0.268974547653,-0.0189324077791,-0.0796504698624,Technology,Semiconductors,0.024383,0.024383,0.029495,0.029495,0.0,0.0,0.0,-0.0896041583367,-0.142232142857,-0.0941586748038,0.144860330045
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.61,-27.4331539087,None,None,None,-3.28652059487,-0.424265234557,0.956131750705,Consumer Durables,Major Pharmaceuticals,0.061856,0.061856,0.0,None,0.0,None,None,-45.1401337793,-21.9376963351,-15.4304981774,-27.2242873432
ACY,AeroCentury Corp.,13.0,-0.0242603568122,None,None,None,-84.9852525713,-2.72242963598,-57.7609562114,Technology,Diversified Commercial Services,0.130826,0.130826,0.022744,0.049105,0.0,-3.34258868696,3.34258868696,-0.0860581122707,-0.0672747611058,0.0381002918546,0.018191154273
AIM,Aerosonic Corporation,3.02,-0.044287864042,None,None,None,-4.93339792973,-0.143171341218,-3.50168451755,Capital Goods,Industrial Machinery/Components,0.023035,0.023035,0.029607,0.029607,0.0,0.0,0.0,0.0725048406971,-0.0075951788789,-0.124104927331,-0.117956190655
AA^,Alcoa Inc.,85.11,None,None,None,None,None,None,None,Capital Goods,Metal Fabrications,None,None,None,None,None,None,None,None,None,None,None
AXX,Alderon Iron Ore Corp.,1.45,-0.382040623736,None,None,None,-2.62012087299,-0.26201901335,6.92605155567e-05,Basic Industries,Precious Metals,0.101629,0.099808,0.0,None,0.0785229919042,None,None,-0.382040623736,None,None,-0.265353159851
AXU,Alexco Resource Corp,3.7,-0.110174890648,None,None,None,-3.32025554549,-0.273949036258,-0.58076518291,Basic Industries,Precious Metals,0.215896,0.206892,0.08503,0.041753,0.185008981432,3.08884493589,3.27385391732,0.249805837404,-0.187493092651,-0.230625359065,-0.272386948281
ANV,Allied Nevada Gold Corp.,31.74,-0.223268789774,None,None,None,-3.51859832216,-0.555807368469,2.03947536253,Basic Industries,Precious Metals,0.657206,0.657206,0.152029,0.152029,0.0,0.0,0.0,0.089450696592,0.0936570906919,-0.629691965703,-0.446490980675
AAU,"Almaden Minerals, Ltd.",2.93,-0.342284581076,None,None,None,-0.284627565661,-0.0771715132134,0.487087566473,Basic Industries,Precious Metals,0.053905,0.036576,0.0,0.000197,1.68432841661,None,None,-0.637919664269,-0.246499238965,-0.214574230508,-0.270145190563
APT,"Alpha Pro Tech, Ltd.",1.39,0.42830962413,0.553483888188,4.96897010546,0.201248946719,2.51136488282,0.222889727615,0.282467606669,Health Care,Industrial Specialties,0.03687,0.03687,0.038502,0.038502,0.0,0.0,0.0,0.305947115837,-0.380311808701,1.28008039303,0.507522796353
DIT,AMCON Distributing Company,62.3,0.590354355897,0.288287248029,4.97073304537,0.201177570968,216.103904789,30.5817738801,-89.7138340121,Consumer Non-Durables,Food Distributors,0.105809,0.10581,1.174167,1.174168,-4.10449422696e-05,-3.69874385026e-06,4.47436861198e-05,0.372141411586,0.692145015106,0.482960988248,0.81417000865
APP,American Apparel Inc,0.9867,0.015886695198,None,115.966865601,0.00862315278433,-2.20105127546,0.0300825286978,-2.50187656244,Finance,Business Services,0.324721,0.324721,0.547336,0.547336,0.0,0.0,0.0,-0.0801005352986,-0.208348973135,0.193683460048,0.158312829178
ADGE,American DG Energy Inc.,1.99,-0.206330901068,None,None,None,-0.886456666224,-0.0817511136307,-0.0689455299173,Energy,Electric Utilities: Central,0.034503,0.034503,0.006022,0.006023,0.0,-0.0007211199384,0.0007211199384,-0.227744968752,-0.172750642674,-0.175627282365,-0.24920071048
ALN,American Lorain Corporation,1.32,0.215021103054,0.261993476931,3.74826891643,0.266789822795,5.03829337837,0.594762207245,-0.909328694083,Consumer Non-Durables,Packaged Foods,0.218698,0.218698,0.213222,0.213222,0.0,0.0,0.0,-0.0410838456112,0.491311485021,-0.235960409052,0.645817181857
AMS,American Shared Hospital Services,2.8,0.000500806196744,None,1141.02076075,0.000876408242861,-8.09624906597,0.00963399562951,-8.19258902227,Health Care,Medical Specialities,0.074535,0.074535,0.022221,0.022221,0.0,0.0,0.0,-0.016317543442,-0.00833925698679,0.00225051440329,0.0244095108125
AQQ,"American Spectrum Realty, Inc.",3.8,None,None,None,None,None,None,-113.012054885,Consumer Services,Real Estate Investment Trusts,0.497484,0.496767,0.069835,0.06935,0.00626379450469,0.030266720731,0.0365305152357,None,None,None,None
AXN,"Aoxing Pharmaceutical Company, Inc.",0.2,-0.188626425952,None,None,None,-1.59196222788,-0.118664837044,-0.405313857448,Consumer Durables,Major Pharmaceuticals,0.045089,0.04509,0.008134,0.008134,-9.63183184382e-05,0.0,9.63183184382e-05,-0.144413950064,-0.168025989877,-0.22301092281,-0.219054841058
AGX,"Argan, Inc.",19.16,5.07788878795,0.719538887663,6.72960991848,0.148597023024,26.6281646878,2.28357000287,3.79246465914,Basic Industries,Engineering & Construction,0.205252,0.205252,0.14185,0.14185,0.0,0.0,0.0,18.5831949742,4.63926325247,-2.03250517598,-0.878397898884
HRT,Arrhythmia Research Technology Inc.,2.39,0.0236104577612,3.550345996,20.6902296475,0.048331991333,0.673173826633,0.160597688729,-0.932803060655,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0.019814,0.019227,0.024256,0.024256,0.130606323528,0.0,0.130606323528,-0.0424428544292,0.0403172702784,0.0546052631579,0.0419621520377
ATC,ATC Venture Group Inc.,0.14,-0.127314822352,None,None,None,-3.68526278295,-0.236310627068,-1.32215651226,Capital Goods,Auto Parts:O.E.M.,0.012629,0.012629,0.00221,0.002211,0.0,-0.00196468893603,0.00196468893603,-0.0371022089105,-0.199316544548,-0.168085898709,-0.104754637239
ATL,Atlatsa Resources Corporation,0.155,-0.15194016628,None,None,None,-12.56126325,-0.684831697393,-5.71294627604,Basic Industries,Precious Metals,0.979113,None,0.144406,None,None,None,None,-0.169985501705,-0.133894830855,None,-0.861904761905
AZC,Augusta Resource Corporation,2.34,-0.255717418315,None,None,None,-0.799781377288,-0.0648063685241,-0.151717692047,Basic Industries,Precious Metals,0.273332,0.226617,0.0,None,0.81397993175,None,None,-0.261031687546,-0.233389998583,-0.188112858464,-0.340335128665
AZK,"Aurizon Mines, Ltd.",3.64,0.283997288684,0.538370486709,4.84032567329,0.206597668731,6.76114328304,0.604910908211,0.712034200932,Basic Industries,Precious Metals,0.418381,0.410882,0.259999,0.255339,0.0785483760571,0.0785452440894,0.157093620146,0.446984993361,0.13312022963,0.271886643061,None
AWX,Avalon Holdings Corporation,3.76,-0.0628426178655,None,None,None,-9.30543287839,-0.716835882409,-2.1370740543,Public Utilities,Environmental Services,0.055402,0.053367,0.053986,0.053986,0.162526531103,0.0,0.162526531103,-0.0358002179279,-0.0970447981731,-0.0315626124505,-0.0869628429106
AVL,"Avalon Rare Metals, Inc.",1.37,-0.319127910105,2.26263962409,None,None,0.605487495849,-0.00417303638817,0.647217859731,Basic Industries,Precious Metals,0.123893,None,0.0,None,None,None,None,-0.223640048884,-0.249658840056,-0.269096860586,-0.534115890894
ASM,Avino Silver,1.8,-0.309082080573,None,None,None,-0.297093453724,-0.0373782787005,0.0766893332806,Basic Industries,Precious Metals,0.026136,0.025668,0.0,None,0.0784709084823,None,None,-0.795227142036,-0.146004238873,-0.123990528415,-0.171106412967
BONE,"Bacterin International Holdings, Inc.",1.22,-1.25244952262,None,None,None,-2.59267000318,-0.219556519465,-0.397104808534,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.023169,0.02317,0.030149,0.030149,-0.000187442319416,0.0,0.000187442319416,-1.25244952262,None,None,None
BKR,Baker (Michael) Corporation,19.0,0.728280935529,0.580431837057,6.89463806984,0.145040245749,32.7342485146,4.42275291044,-11.4932805898,Consumer Services,Other Consumer Services,0.379874,0.379874,0.538424,0.538424,0.0,0.0,0.0,0.34531463082,0.708364308131,0.861463159323,0.997981643841
BTN,"Ballantyne Strong, Inc",3.19,0.508073845055,0.832817439893,8.59773254713,0.11630973568,3.8303712761,0.456668429968,-0.736313023579,Miscellaneous,Industrial Machinery/Components,0.113456,0.113456,0.184433,0.184433,0.0,0.0,0.0,1.19178617992,0.511965536678,0.166631652661,0.161912010961
BKJ,"Bancorp of New Jersey, Inc",10.78,None,None,None,None,None,None,None,Finance,Major Banks,0.470174,0.469842,None,0.019865,0.00306773020857,None,None,None,None,None,None
BAA,BANRO CORPORATION,3.28,-0.155084868036,None,None,None,-3.48054240435,-0.332702246119,-0.153519943162,Basic Industries,Precious Metals,0.436972,0.429141,0.0,None,0.0785360055322,None,None,-0.0317488148581,-0.266213036859,-0.169228764011,-0.153148856416
BHB,"Bar Harbor Bankshares, Inc.",34.24,None,None,None,None,None,None,None,Finance,Major Banks,1.172942,1.167466,None,0.057699,0.0203229601225,None,None,None,None,None,None
BRN,"Barnwell Industries, Inc.",3.28,-0.0566957722901,None,None,None,-21.4042384406,-1.63731649807,-5.03107345998,Energy,Oil & Gas Production,0.090191,0.088772,0.03846,0.03846,0.0688719774468,0.0,0.0688719774468,-0.0347787673169,-0.0612044388945,-0.148046920143,0.0172470371945
BXE,Bellatrix Exploration Ltd,3.98,-0.0588560055291,None,None,None,-5.80076786116,-0.360581001439,-2.19495784677,Energy,Oil & Gas Production,0.580422,None,0.16762,None,None,None,None,-0.00573173171266,-0.0621526369142,-0.109988501297,-0.0575511521924
BTX,"BioTime, Inc.",3.56,-16.6047901203,None,None,None,-5.84836722326,-0.61988947436,0.35052752034,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.045829,0.04583,0.001587,0.004355,-9.47630853319e-05,-4.38411232589,4.38420708897,-15.6182648402,-41.9,-6.11694915254,-2.78394648829
BMJ,Birks & Mayors Inc.,0.79,0.0955833561149,None,19.845472519,0.0503893267869,-5.30131473896,0.618691964982,-11.4882343888,Consumer Services,Consumer Specialties,0.185167,0.185269,0.302317,0.302483,-0.00239167026281,-0.00238402400153,0.00477569426434,-0.0553214604431,0.00557166782403,0.221494647813,0.210588569266
BDR,"Blonder Tongue Laboratories, Inc.",1.14,-0.0502544464134,None,None,None,-2.01528158759,-0.140117723393,-0.614104353657,Technology,Radio And Television Broadcasting And Communications Equipment,0.025871,0.025871,0.026663,0.026663,0.0,0.0,0.0,-0.0858571513107,0.0835076187631,-0.175943996606,-0.0227242565
BVX,Bovie Medical Corporation,2.6327,-0.0246867409618,None,None,None,-0.238968878534,-0.0169058717871,-0.0699101606629,Health Care,Medical/Dental Instruments,0.02824,0.02824,0.025411,0.025411,0.0,0.0,0.0,0.0549991483563,-0.212832527207,-0.102951484966,0.162037899969
BWL.A,"Bowl America, Inc.",12.5,-0.0159801211598,None,None,None,None,None,None,Consumer Services,Services-Misc. Amusement & Recreation,0.039368,None,0.024666,None,None,None,None,-0.0442569533341,-0.0267712951569,-0.0325812059034,0.0396889697552
BZC,Breeze-Eastern Corporation,8.1,0.655978885193,0.846052304252,8.83238786352,0.11321966556,9.57387617679,1.26229946636,-3.04911848677,Capital Goods,Military/Government/Technical,0.079851,0.079851,0.084942,0.0782,0.0,0.359157293864,0.359157293864,0.604708290686,0.619775623678,0.62932728647,0.770104339936
BRD,Brigus Gold Corp,1.04,-0.0564883527079,None,None,None,-1.65439862418,-0.0879880345905,-0.774518278275,Basic Industries,Precious Metals,0.380022,0.373211,0.071092,0.071855,0.0785430361953,-0.0463626150493,0.124905651245,0.0230358652176,-0.202950364457,-0.0481603288798,0.00212141728729
BTI,"British American Tobacco  Industries, p.l.c.",105.65,0.73103806829,3.45688059579,25.8984162448,0.0386123997139,30.5622358287,4.72297133345,-16.6674775058,Consumer Non-Durables,Farming/Seeds/Milling,27.119,None,15.399,None,None,None,None,0.754169831384,0.75,0.632932379714,0.78705006206
CAK,CAMAC Energy Inc.,0.6499,-2.08182672558,None,None,None,-28.5531745244,-2.83274418355,-0.225732688842,Energy,Oil & Gas Production,0.23403,0.23403,0.03891,0.03891,0.0,0.0,0.0,-0.165928552476,13.2829113924,-10.8656012177,-10.5786885246
CDY,Cardero Resource Corporation,0.413,-2.76206315103,None,None,None,-17.3348134365,-1.72315148348,-0.103298601691,Basic Industries,Precious Metals,0.121329,0.122154,0.0,None,-0.0294307461907,None,None,-11.074870254,0.59429272099,-0.288201513965,-0.279473557112
CXM,"Cardium Therapeutics, Inc.",0.2335,-6.73989683715,None,None,None,-0.67690758456,-0.0703630001013,0.0267224164531,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.007503,0.007503,0.0,None,0.0,None,None,-5.80557620818,-5.8339520495,-7.92681940701,-7.39323968393
ROX,"Castle Brands, Inc.",0.2804,-3.8671892697,None,None,None,-0.822690961777,-0.0703434367687,-0.119256594089,Consumer Non-Durables,Beverages (Production/Distribution),0.031354,0.031355,0.035494,0.035495,-0.000138511053259,-0.000122355430259,0.000260866483518,-2.72536023055,-2.52166666667,-3.69265837774,-6.52907180385
CAW,"CCA Industries, Inc.",4.3,0.8503055777,1.39524615891,14.0964133028,0.070940031235,3.08189345123,0.297359289393,0.108300557294,Consumer Non-Durables,Package Goods/Cosmetics,0.034905,0.034906,0.049033,0.049512,-0.000124420071889,-0.0422200406274,0.0423444606993,-0.124048972453,-1.62052919708,2.91736111111,2.22843936922
CVM,Cel-Sci Corporation,0.35,-3.92291919538,None,None,None,-0.603627942388,-0.0584265477302,-0.0193624650863,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.018625,0.018625,0.000956,0.000956,0.0,0.0,0.0,-5.89696736058,-3.801936976,-2.08054119793,-3.91223124701
CCF,Chase Corporation,17.5,0.24509474194,1.78135732466,13.6486649854,0.0732672390357,9.82396948535,2.10379153621,-11.2139458767,Consumer Durables,Building Products,0.216487,0.216487,0.148919,0.148919,0.0,0.0,0.0,0.227471641215,0.174750184174,0.24518917387,0.332967968501
CQP,"Cheniere Energy Partners, LP",20.76,-0.0437149872563,None,None,None,-10.5665332193,-0.26094861363,-7.95704708296,Public Utilities,Oil/Gas Transmission,1.7373,1.7373,0.28149,0.28379,0.0,-0.0353411697057,0.0353411697057,-0.0912790519756,-0.0361032538334,0.0535475821159,-0.101025225332
LNG,"Cheniere Energy, Inc.",16.8,-0.139063728561,None,None,None,-25.7100141258,-1.43955800049,-11.3144341209,Public Utilities,Oil/Gas Transmission,2.915325,2.915325,0.290444,0.290444,0.0,0.0,0.0,-0.118512459323,-0.107356508945,-0.144494510766,-0.185891435208
CVR,Chicago Rivet & Machine Co.,19.8,-0.0749889797669,None,None,None,-24.1061898861,-2.80921876587,3.98599777256,Technology,Industrial Machinery/Components,0.024858,0.024858,0.030915,0.030915,0.0,0.0,0.0,-0.0526162137885,-0.0586084306755,-0.110173111511,-0.078558163093
