Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
AXK,Accelr8 Technology Corporation,3.45,-111.5%,10.80,N/A,N/A,0.32,-0.015,0.47,Capital Goods,Biotechnology: Laboratory Analytical Instruments,-248.6%,121.4%,-242.4%,-76.5%
ACU,Acme United Corporation.,11.00,24.5%,6.29,21.5,4.7%,1.75,0.804,-6.29,Capital Goods,Industrial Machinery/Components,18.5%,-17.3%,57.9%,38.9%
AQ,Acquity Group Limited,6.23,199.1%,1.01,10.1,9.9%,6.16,0.644,-0.28,Miscellaneous,Business Services,203.3%,195.0%,N/A,N/A
AE,"Adams Resources & Energy, Inc.",34.81,17.0%,2.10,12.6,8.0%,16.54,7.085,-54.30,Energy,Oil Refining/Marketing,38.4%,20.9%,10.7%,-2.2%
ADK,Adcare Health Systems Inc,4.55,-7.0%,N/A,N/A,N/A,-14.58,-0.542,-9.17,Health Care,Hospital/Nursing Management,-4.8%,-15.2%,-1.3%,-6.8%
API,"Advanced Photonix, Inc.",0.49,-4.5%,N/A,N/A,N/A,-0.27,-0.019,-0.08,Technology,Semiconductors,-9.0%,-14.2%,-9.4%,14.5%
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.61,-2743.3%,N/A,N/A,N/A,-3.29,-0.424,0.96,Consumer Durables,Major Pharmaceuticals,-4514.0%,-2193.8%,-1543.0%,-2722.4%
AIM,Aerosonic Corporation,3.02,-4.4%,N/A,N/A,N/A,-4.93,-0.143,-3.50,Capital Goods,Industrial Machinery/Components,7.3%,-0.8%,-12.4%,-11.8%
AXX,Alderon Iron Ore Corp.,1.45,-38.2%,N/A,N/A,N/A,-2.62,-0.262,0.00,Basic Industries,Precious Metals,-38.2%,N/A,N/A,-26.5%
ANV,Allied Nevada Gold Corp.,31.74,-22.3%,N/A,N/A,N/A,-3.52,-0.556,2.04,Basic Industries,Precious Metals,8.9%,9.4%,-63.0%,-44.6%
AAU,"Almaden Minerals, Ltd.",2.93,-34.2%,N/A,N/A,N/A,-0.28,-0.077,0.49,Basic Industries,Precious Metals,-63.8%,-24.6%,-21.5%,-27.0%
APT,"Alpha Pro Tech, Ltd.",1.39,42.8%,0.55,5.0,20.1%,2.51,0.223,0.28,Health Care,Industrial Specialties,30.6%,-38.0%,128.0%,50.8%
DIT,AMCON Distributing Company,62.30,59.0%,0.29,5.0,20.1%,216.10,30.582,-89.71,Consumer Non-Durables,Food Distributors,37.2%,69.2%,48.3%,81.4%
APP,American Apparel Inc,0.99,1.6%,N/A,116.0,0.9%,-2.20,0.030,-2.50,Finance,Business Services,-8.0%,-20.8%,19.4%,15.8%
ADGE,American DG Energy Inc.,1.99,-20.6%,N/A,N/A,N/A,-0.89,-0.082,-0.07,Energy,Electric Utilities: Central,-22.8%,-17.3%,-17.6%,-24.9%
ALN,American Lorain Corporation,1.32,21.5%,0.26,3.7,26.7%,5.04,0.595,-0.91,Consumer Non-Durables,Packaged Foods,-4.1%,49.1%,-23.6%,64.6%
AMS,American Shared Hospital Services,2.80,0.1%,N/A,1141.0,0.1%,-8.10,0.010,-8.19,Health Care,Medical Specialities,-1.6%,-0.8%,0.2%,2.4%
AQQ,"American Spectrum Realty, Inc.",3.80,N/A,N/A,N/A,N/A,N/A,N/A,-113.01,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
AXN,"Aoxing Pharmaceutical Company, Inc.",0.20,-18.9%,N/A,N/A,N/A,-1.59,-0.119,-0.41,Consumer Durables,Major Pharmaceuticals,-14.4%,-16.8%,-22.3%,-21.9%
AGX,"Argan, Inc.",19.16,507.8%,0.72,6.7,14.9%,26.63,2.284,3.79,Basic Industries,Engineering & Construction,1858.3%,463.9%,-203.3%,-87.8%
HRT,Arrhythmia Research Technology Inc.,2.39,2.4%,3.55,20.7,4.8%,0.67,0.161,-0.93,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-4.2%,4.0%,5.5%,4.2%
ATC,ATC Venture Group Inc.,0.14,-12.7%,N/A,N/A,N/A,-3.69,-0.236,-1.32,Capital Goods,Auto Parts:O.E.M.,-3.7%,-19.9%,-16.8%,-10.5%
ATL,Atlatsa Resources Corporation,0.15,-15.2%,N/A,N/A,N/A,-12.56,-0.685,-5.71,Basic Industries,Precious Metals,-17.0%,-13.4%,N/A,-86.2%
AZC,Augusta Resource Corporation,2.34,-25.6%,N/A,N/A,N/A,-0.80,-0.065,-0.15,Basic Industries,Precious Metals,-26.1%,-23.3%,-18.8%,-34.0%
